sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
B00GXCQ,EGAN00001595023,SAMEA104305117,EGAR00001605395,EGAX00001561165,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXCR,EGAN00001595024,SAMEA104305118,EGAR00001606103,EGAX00001561873,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXCS,EGAN00001595025,SAMEA104305119,EGAR00001606104,EGAX00001561874,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXCT,EGAN00001595026,SAMEA104305120,EGAR00001606105,EGAX00001561875,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXDH,EGAN00001595031,SAMEA104305125,EGAR00001606106,EGAX00001561876,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXDI,EGAN00001595032,SAMEA104305126,EGAR00001606107,EGAX00001561877,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXDL,EGAN00001595033,SAMEA104305127,EGAR00001606108,EGAX00001561878,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXDM,EGAN00001595034,SAMEA104305128,EGAR00001606109,EGAX00001561879,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXDN,EGAN00001594917,SAMEA104305003,EGAR00001606110,EGAX00001561880,EGAS00001002631,ENA-CHECKLIST=ERC000026;sex=male
B00GXDO,EGAN00001595014,SAMEA104305108,EGAR00001606111,EGAX00001561881,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXDP,EGAN00001595015,SAMEA104305109,EGAR00001606112,EGAX00001561882,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXDQ,EGAN00001595016,SAMEA104305110,EGAR00001606113,EGAX00001561883,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXDR,EGAN00001595017,SAMEA104305111,EGAR00001606114,EGAX00001561884,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXDS,EGAN00001595018,SAMEA104305112,EGAR00001606115,EGAX00001561885,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXHH,EGAN00001595021,SAMEA104305115,EGAR00001606116,EGAX00001561886,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXHI,EGAN00001595022,SAMEA104305116,EGAR00001606117,EGAX00001561887,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXHK,EGAN00001595019,SAMEA104305113,EGAR00001606118,EGAX00001561888,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXHL,EGAN00001595020,SAMEA104305114,EGAR00001606119,EGAX00001561889,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXJ0,EGAN00001595035,SAMEA104305129,EGAR00001606120,EGAX00001561890,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXJ1,EGAN00001595036,SAMEA104305130,EGAR00001606121,EGAX00001561891,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXJ3,EGAN00001595037,SAMEA104305131,EGAR00001606122,EGAX00001561892,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXJ4,EGAN00001595038,SAMEA104305132,EGAR00001606123,EGAX00001561893,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXKT,EGAN00001595027,SAMEA104305121,EGAR00001606124,EGAX00001561894,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXKU,EGAN00001595028,SAMEA104305122,EGAR00001606125,EGAX00001561895,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXKW,EGAN00001595029,SAMEA104305123,EGAR00001606126,EGAX00001561896,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXKX,EGAN00001595030,SAMEA104305124,EGAR00001606127,EGAX00001561897,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXL9,EGAN00001595039,SAMEA104305133,EGAR00001606128,EGAX00001561898,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXLB,EGAN00001595040,SAMEA104305134,EGAR00001606129,EGAX00001561899,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXLE,EGAN00001595041,SAMEA104305135,EGAR00001606130,EGAX00001561900,EGAS00001002631,ENA-CHECKLIST=ERC000026
