accession_id,run_file_type,extra_attributes,sample_accession_id,experiment_accession_id,submission_accession_id,created_at,edited_at
EGAR00001605395,fastq,,EGAN00001595023,EGAX00001561165,EGA00001373082,2017-09-25 10:01:27+02,2021-10-07 16:16:28+02
EGAR00001606103,fastq,,EGAN00001595024,EGAX00001561873,EGA00001375054,2017-10-02 10:14:37+02,2024-01-17 16:29:28.790478+01
EGAR00001606104,fastq,,EGAN00001595025,EGAX00001561874,EGA00001375055,2017-10-02 10:33:34+02,2024-01-17 16:29:28.790478+01
EGAR00001606105,fastq,,EGAN00001595026,EGAX00001561875,EGA00001375055,2017-10-02 10:33:34+02,2021-10-07 16:16:35+02
EGAR00001606106,fastq,,EGAN00001595031,EGAX00001561876,EGA00001375056,2017-10-02 10:54:59+02,2021-10-07 16:16:35+02
EGAR00001606107,fastq,,EGAN00001595032,EGAX00001561877,EGA00001375056,2017-10-02 10:54:59+02,2021-10-07 16:16:35+02
EGAR00001606108,fastq,,EGAN00001595033,EGAX00001561878,EGA00001375056,2017-10-02 10:54:59+02,2021-10-07 16:16:35+02
EGAR00001606109,fastq,,EGAN00001595034,EGAX00001561879,EGA00001375056,2017-10-02 10:54:59+02,2021-10-07 16:16:35+02
EGAR00001606110,fastq,,EGAN00001594917,EGAX00001561880,EGA00001375056,2017-10-02 10:54:59+02,2021-10-07 16:16:35+02
EGAR00001606111,fastq,,EGAN00001595014,EGAX00001561881,EGA00001375056,2017-10-02 10:54:59+02,2021-10-07 16:16:35+02
EGAR00001606112,fastq,,EGAN00001595015,EGAX00001561882,EGA00001375056,2017-10-02 10:54:59+02,2021-10-07 16:16:35+02
EGAR00001606113,fastq,,EGAN00001595016,EGAX00001561883,EGA00001375056,2017-10-02 10:54:59+02,2021-10-07 16:16:35+02
EGAR00001606114,fastq,,EGAN00001595017,EGAX00001561884,EGA00001375056,2017-10-02 10:54:59+02,2021-10-07 16:16:35+02
EGAR00001606115,fastq,,EGAN00001595018,EGAX00001561885,EGA00001375058,2017-10-02 11:23:27+02,2021-10-07 16:16:35+02
EGAR00001606116,fastq,,EGAN00001595021,EGAX00001561886,EGA00001375058,2017-10-02 11:23:27+02,2021-10-07 16:16:35+02
EGAR00001606117,fastq,,EGAN00001595022,EGAX00001561887,EGA00001375058,2017-10-02 11:23:27+02,2021-10-07 16:16:35+02
EGAR00001606118,fastq,,EGAN00001595019,EGAX00001561888,EGA00001375058,2017-10-02 11:23:27+02,2021-10-07 16:16:35+02
EGAR00001606119,fastq,,EGAN00001595020,EGAX00001561889,EGA00001375058,2017-10-02 11:23:27+02,2021-10-07 16:16:35+02
EGAR00001606120,fastq,,EGAN00001595035,EGAX00001561890,EGA00001375058,2017-10-02 11:23:27+02,2021-10-07 16:16:35+02
EGAR00001606121,fastq,,EGAN00001595036,EGAX00001561891,EGA00001375058,2017-10-02 11:23:27+02,2021-10-07 16:16:35+02
EGAR00001606122,fastq,,EGAN00001595037,EGAX00001561892,EGA00001375058,2017-10-02 11:23:27+02,2021-10-07 16:16:35+02
EGAR00001606123,fastq,,EGAN00001595038,EGAX00001561893,EGA00001375058,2017-10-02 11:23:27+02,2021-10-07 16:16:35+02
EGAR00001606124,fastq,,EGAN00001595027,EGAX00001561894,EGA00001375058,2017-10-02 11:23:27+02,2021-10-07 16:16:35+02
EGAR00001606125,fastq,,EGAN00001595028,EGAX00001561895,EGA00001375059,2017-10-02 12:03:59+02,2021-10-07 16:16:35+02
EGAR00001606126,fastq,,EGAN00001595029,EGAX00001561896,EGA00001375059,2017-10-02 12:03:59+02,2021-10-07 16:16:35+02
EGAR00001606127,fastq,,EGAN00001595030,EGAX00001561897,EGA00001375059,2017-10-02 12:03:59+02,2021-10-07 16:16:35+02
EGAR00001606128,fastq,,EGAN00001595039,EGAX00001561898,EGA00001375059,2017-10-02 12:03:59+02,2021-10-07 16:16:35+02
EGAR00001606129,fastq,,EGAN00001595040,EGAX00001561899,EGA00001375059,2017-10-02 12:03:59+02,2021-10-07 16:16:35+02
EGAR00001606130,fastq,,EGAN00001595041,EGAX00001561900,EGA00001375059,2017-10-02 12:03:59+02,2021-10-07 16:16:35+02
EGAR00001606131,fastq,,EGAN00001595042,EGAX00001561901,EGA00001375059,2017-10-02 12:03:59+02,2021-10-07 16:16:35+02
EGAR00001606132,fastq,,EGAN00001595043,EGAX00001561902,EGA00001375059,2017-10-02 12:03:59+02,2021-10-07 16:16:35+02
