title	sample_alias	sample_accession_id	preservation	tissue_type	sample_type	phenotype	biological_sex
FFPE Colon Normal	B00GXLV	EGAN00001595050	FFPE	Colon	Normal	colon normal	male
FFPE Colon Normal	B00GXKX	EGAN00001595030	FFPE	Colon	Normal	colon normal	male
FFPE Colon Normal	B00GXKW	EGAN00001595029	FFPE	Colon	Normal	colon normal	male
FFPE Colon Normal	B00GXLU	EGAN00001595049	FFPE	Colon	Normal	colon normal	male
FFPE Colon Normal	B00GXHH	EGAN00001595021	FFPE	Colon	Normal	colon normal	male
FFPE Colon Normal	B00GXHI	EGAN00001595022	FFPE	Colon	Normal	colon normal	male
Frozen Colon Normal	B00GXLF	EGAN00001595042	Frozen	Colon	Normal	colon normal	male
Frozen Colon Normal	B00GXLE	EGAN00001595041	Frozen	Colon	Normal	colon normal	male
Frozen Colon Normal	B00GXJ4	EGAN00001595038	Frozen	Colon	Normal	colon normal	male
Frozen Colon Normal	B00GXJ3	EGAN00001595037	Frozen	Colon	Normal	colon normal	male
FFPE Colon Tumoral	B00GXKT	EGAN00001595027	FFPE	Colon	Tumoral	colon tumoral	male
FFPE Colon Tumoral	B00GXHL	EGAN00001595020	FFPE	Colon	Tumoral	colon tumor	male
FFPE Colon Tumoral	B00GXKU	EGAN00001595028	FFPE	Colon	Tumoral	colon tumoral	male
FFPE Colon Tumoral	B00GXHK	EGAN00001595019	FFPE	Colon	Tumoral	colon tumor	male
FFPE Colon Tumoral	B00GXLR	EGAN00001595048	FFPE	Colon	Tumoral	colon tumor	male
FFPE Colon Tumoral	B00GXLQ	EGAN00001595047	FFPE	Colon	Tumoral	colon tumoral	male
Frozen Colon Tumoral	B00GXJ0	EGAN00001595035	Frozen	Colon	Tumoral	colon tumor	male
Frozen Colon Tumoral	B00GXJ1	EGAN00001595036	Frozen	Colon	Tumoral	colon tumor	male
Frozen Colon Tumoral	B00GXL9	EGAN00001595039	Frozen	Colon	Tumoral	colon tumor	male
Frozen Colon Tumoral	B00GXLB	EGAN00001595040	Frozen	Colon	Tumoral	colon tumor	male
FFPE Liver Normal	B00GXCS	EGAN00001595025	FFPE	Liver	Normal	liver normal	male
FFPE Liver Normal	B00GXCT	EGAN00001595026	FFPE	Liver	Normal	liver normal	male
FFPE Liver Normal	B00GXM5	EGAN00001595054	FFPE	Liver	Normal	liver normal	male
FFPE Liver Normal	B00GXDS	EGAN00001595018	FFPE	Liver	Normal	liver normal	male
FFPE Liver Normal	B00GXDR	EGAN00001595017	FFPE	Liver	Normal	liver normal	male
FFPE Liver Normal	B00GXDQ	EGAN00001595016	FFPE	Liver	Normal	liver normal	male
FFPE Liver Normal	B00GXM2	EGAN00001595053	FFPE	Liver	Normal	liver normal	male
Frozen Liver Normal	B00GXLO	EGAN00001595046	Frozen	Liver	Normal	liver normal	male
Frozen Liver Normal	B00GXDL	EGAN00001595033	Frozen	Liver	Normal	liver normal	male
Frozen Liver Normal	B00GXDM	EGAN00001595034	Frozen	Liver	Normal	liver normal	male
Frozen Liver Normal	B00GXLN	EGAN00001595045	Frozen	Liver	Normal	liver normal	male
FFPE Liver Tumoral	B00GXCQ	EGAN00001595023	FFPE	Liver	Tumoral	liver tumor	male
FFPE Liver Tumoral	B00GXDO	EGAN00001595014	FFPE	Liver	Tumoral	liver tumor	male
FFPE Liver Tumoral	B00GXCR	EGAN00001595024	FFPE	Liver	Tumoral	liver tumor	male
FFPE Liver Tumoral	B00GXLY	EGAN00001595051	FFPE	Liver	Tumoral	liver tumor	male
FFPE Liver Tumoral	B00GXLZ	EGAN00001595052	FFPE	Liver	Tumoral	liver tumor	male
FFPE Liver Tumoral	B00GXDN	EGAN00001594917	FFPE	Liver	Tumoral	liver tumor	male
FFPE Liver Tumoral	B00GXDP	EGAN00001595015	FFPE	Liver	Tumoral	liver tumor	male
Frozen Liver Tumoral	B00GXLH	EGAN00001595043	Frozen	Liver	Tumoral	liver tumor	male
Frozen Liver Tumoral	B00GXLJ	EGAN00001595044	Frozen	Liver	Tumoral	liver tumor	male
Frozen Liver Tumoral	B00GXDI	EGAN00001595032	Frozen	Liver	Tumoral	liver tumor	male
Frozen Liver Tumoral	B00GXDH	EGAN00001595031	Frozen	Liver	Tumoral	liver tumor	male
