sample_accession_id,sample_alias,file_name,file_accession_id
EGAN00001594917,B00GXDN,F500_CP_B00GXDN_8_1_C8NNJACXX.IND178.fastq.gz,EGAF00001767999
EGAN00001594917,B00GXDN,F500_CP_B00GXDN_8_2_C8NNJACXX.IND178.fastq.gz,EGAF00001768000
EGAN00001595014,B00GXDO,F500_CP_B00GXDO_8_1_C8NNJACXX.IND132.fastq.gz,EGAF00001768001
EGAN00001595014,B00GXDO,F500_CP_B00GXDO_8_2_C8NNJACXX.IND132.fastq.gz,EGAF00001768002
EGAN00001595015,B00GXDP,F500_CP_B00GXDP_8_1_C8NNJACXX.IND224.fastq.gz,EGAF00001768003
EGAN00001595015,B00GXDP,F500_CP_B00GXDP_8_2_C8NNJACXX.IND224.fastq.gz,EGAF00001768004
EGAN00001595016,B00GXDQ,F500_CP_B00GXDQ_6_1_C8N15ACXX.IND170.fastq.gz,EGAF00001768005
EGAN00001595016,B00GXDQ,F500_CP_B00GXDQ_6_2_C8N15ACXX.IND170.fastq.gz,EGAF00001768006
EGAN00001595017,B00GXDR,F500_CP_B00GXDR_6_1_C8N15ACXX.IND179.fastq.gz,EGAF00001768007
EGAN00001595017,B00GXDR,F500_CP_B00GXDR_6_2_C8N15ACXX.IND179.fastq.gz,EGAF00001768008
EGAN00001595018,B00GXDS,F500_CP_B00GXDS_6_1_C8N15ACXX.IND201.fastq.gz,EGAF00001768009
EGAN00001595018,B00GXDS,F500_CP_B00GXDS_6_2_C8N15ACXX.IND201.fastq.gz,EGAF00001768010
EGAN00001595019,B00GXHK,F500_CP_B00GXHK_7_1_C8N15ACXX.IND223.fastq.gz,EGAF00001768015
EGAN00001595019,B00GXHK,F500_CP_B00GXHK_7_2_C8N15ACXX.IND223.fastq.gz,EGAF00001768016
EGAN00001595020,B00GXHL,F500_CP_B00GXHL_7_1_C8N15ACXX.IND211.fastq.gz,EGAF00001768017
EGAN00001595020,B00GXHL,F500_CP_B00GXHL_7_2_C8N15ACXX.IND211.fastq.gz,EGAF00001768018
EGAN00001595021,B00GXHH,F500_CP_B00GXHH_7_1_C8N15ACXX.IND180.fastq.gz,EGAF00001768011
EGAN00001595021,B00GXHH,F500_CP_B00GXHH_7_2_C8N15ACXX.IND180.fastq.gz,EGAF00001768012
EGAN00001595022,B00GXHI,F500_CP_B00GXHI_8_1_C8N15ACXX.IND135.fastq.gz,EGAF00001768013
EGAN00001595022,B00GXHI,F500_CP_B00GXHI_8_2_C8N15ACXX.IND135.fastq.gz,EGAF00001768014
EGAN00001595023,B00GXCQ,F500_CP_B00GXCQ_8_1_C8N15ACXX.IND175.fastq.gz,EGAF00001766094
EGAN00001595023,B00GXCQ,F500_CP_B00GXCQ_8_2_C8N15ACXX.IND175.fastq.gz,EGAF00001766095
EGAN00001595024,B00GXCR,F500_CP_B00GXCR_8_1_C8N15ACXX.IND150.fastq.gz,EGAF00001768045
EGAN00001595024,B00GXCR,F500_CP_B00GXCR_8_2_C8N15ACXX.IND150.fastq.gz,EGAF00001768046
EGAN00001595025,B00GXCS,F500_CP_B00GXCR_8_1_C8N15ACXX.IND150.fastq.gz,EGAF00001767987
EGAN00001595025,B00GXCS,F500_CP_B00GXCR_8_2_C8N15ACXX.IND150.fastq.gz,EGAF00001767988
EGAN00001595026,B00GXCT,F500_CP_B00GXCT_1_1_C8N8VACXX.IND153.fastq.gz,EGAF00001767989
EGAN00001595026,B00GXCT,F500_CP_B00GXCT_1_2_C8N8VACXX.IND153.fastq.gz,EGAF00001767990
EGAN00001595027,B00GXKT,F500_CP_B00GXKT_1_1_C8N8VACXX.IND220.fastq.gz,EGAF00001768027
EGAN00001595027,B00GXKT,F500_CP_B00GXKT_1_2_C8N8VACXX.IND220.fastq.gz,EGAF00001768028
EGAN00001595028,B00GXKU,F500_CP_B00GXKU_2_1_C8N8VACXX.IND199.fastq.gz,EGAF00001768029
EGAN00001595028,B00GXKU,F500_CP_B00GXKU_2_2_C8N8VACXX.IND199.fastq.gz,EGAF00001768030
EGAN00001595029,B00GXKW,F500_CP_B00GXKW_2_1_C8N8VACXX.IND182.fastq.gz,EGAF00001768031
EGAN00001595029,B00GXKW,F500_CP_B00GXKW_2_2_C8N8VACXX.IND182.fastq.gz,EGAF00001768032
EGAN00001595030,B00GXKX,F500_CP_B00GXKX_2_1_C8N8VACXX.IND137.fastq.gz,EGAF00001768033
EGAN00001595030,B00GXKX,F500_CP_B00GXKX_2_2_C8N8VACXX.IND137.fastq.gz,EGAF00001768034
EGAN00001595031,B00GXDH,F500_CP_B00GXDH_5_1_C8NNJACXX.IND133.fastq.gz,EGAF00001767991
