sample_id	model	auroc	auprc
FFPE-Colon-Tumoral_B00GXKT	mobsnvf	0.919211316579736	0.850134384075114
FFPE-Colon-Tumoral_B00GXKT	vafsnvf	0.389615931721195	0.244533818377425
FFPE-Colon-Tumoral_B00GXKT	sobdetector	0.844287261086537	0.468718741161288
FFPE-Colon-Tumoral_B00GXKT	gatk-obmm	0.499999999999997	0.169960474308298
FFPE-Colon-Tumoral_B00GXHL	mobsnvf	0.942654705613742	0.855807701991693
FFPE-Colon-Tumoral_B00GXHL	vafsnvf	0.296072988378118	0.119559040083115
FFPE-Colon-Tumoral_B00GXHL	sobdetector	0.84182178955907	0.271573831379958
FFPE-Colon-Tumoral_B00GXHL	gatk-obmm	0.500000000000002	0.0787479406919274
FFPE-Colon-Tumoral_B00GXKU	mobsnvf	0.941135734072022	0.846359042602096
FFPE-Colon-Tumoral_B00GXKU	vafsnvf	0.306611487501252	0.223266248181578
FFPE-Colon-Tumoral_B00GXKU	sobdetector	0.848879503105572	0.453379528887202
FFPE-Colon-Tumoral_B00GXKU	gatk-obmm	0.499999999999999	0.159919028340081
FFPE-Colon-Tumoral_B00GXHK	mobsnvf	0.961365223070509	0.733684071630077
FFPE-Colon-Tumoral_B00GXHK	vafsnvf	0.387565958598296	0.0737533717358629
FFPE-Colon-Tumoral_B00GXHK	sobdetector	0.836038358881742	0.167541403913282
FFPE-Colon-Tumoral_B00GXHK	gatk-obmm	0.499999999999981	0.0427292687046136
FFPE-Colon-Tumoral_B00GXLR	mobsnvf	0.932804975922952	0.851970377010526
FFPE-Colon-Tumoral_B00GXLR	vafsnvf	0.277034531502423	0.136037854933659
FFPE-Colon-Tumoral_B00GXLR	sobdetector	0.849819223985876	0.302481905701553
FFPE-Colon-Tumoral_B00GXLR	gatk-obmm	0.500000000000007	0.0887888707037658
FFPE-Colon-Tumoral_B00GXLQ	mobsnvf	0.912545900235289	0.827905137498552
FFPE-Colon-Tumoral_B00GXLQ	vafsnvf	0.24664494149015	0.125410970358005
FFPE-Colon-Tumoral_B00GXLQ	sobdetector	0.86900943451645	0.290813137434142
FFPE-Colon-Tumoral_B00GXLQ	gatk-obmm	0.50000000000001	0.0748783227255703
FFPE-Liver-Tumoral_B00GXCQ	mobsnvf	0.906933586038063	0.502041340607954
FFPE-Liver-Tumoral_B00GXCQ	vafsnvf	0.366809286110451	0.0257804669103635
FFPE-Liver-Tumoral_B00GXCQ	sobdetector	0.794256705846867	0.0879898567238214
FFPE-Liver-Tumoral_B00GXCQ	gatk-obmm	0.512150668286746	0.0301932367149754
FFPE-Liver-Tumoral_B00GXDO	mobsnvf	0.960085413929039	0.384257440708263
FFPE-Liver-Tumoral_B00GXDO	vafsnvf	0.391920798595875	0.00569058881725787
FFPE-Liver-Tumoral_B00GXDO	sobdetector	0.815511755712642	0.0236947953731221
FFPE-Liver-Tumoral_B00GXDO	gatk-obmm	0.50642251981414	0.00687379708551063
FFPE-Liver-Tumoral_B00GXCR	mobsnvf	0.800195407914022	0.396081817923181
FFPE-Liver-Tumoral_B00GXCR	vafsnvf	0.399070506940622	0.0252791629256827
FFPE-Liver-Tumoral_B00GXCR	sobdetector	0.706749992129205	0.0660451904604167
FFPE-Liver-Tumoral_B00GXCR	gatk-obmm	0.513746630727759	0.028540656973613
FFPE-Liver-Tumoral_B00GXLY	mobsnvf	0.790018014540309	0.27933282247674
FFPE-Liver-Tumoral_B00GXLY	vafsnvf	0.326090458089041	0.0105796894421287
FFPE-Liver-Tumoral_B00GXLY	sobdetector	0.778553353177797	0.0340444164412999
FFPE-Liver-Tumoral_B00GXLY	gatk-obmm	0.49598920954851	0.0101205126277315
FFPE-Liver-Tumoral_B00GXLZ	mobsnvf	0.762142960707554	0.377123865844903
FFPE-Liver-Tumoral_B00GXLZ	vafsnvf	0.25672407120743	0.0105939012872188
FFPE-Liver-Tumoral_B00GXLZ	sobdetector	0.813576881134136	0.0434528364807529
FFPE-Liver-Tumoral_B00GXLZ	gatk-obmm	0.494254958877605	0.0112376425080596
FFPE-Liver-Tumoral_B00GXDN	mobsnvf	0.93799623475484	0.297535773717105
FFPE-Liver-Tumoral_B00GXDN	vafsnvf	0.26812030075188	0.00614501477870943
FFPE-Liver-Tumoral_B00GXDN	sobdetector	0.798371755850668	0.0246379602750925
FFPE-Liver-Tumoral_B00GXDN	gatk-obmm	0.505193798449615	0.00715507855031877
FFPE-Liver-Tumoral_B00GXDP	mobsnvf	0.981446082893379	0.428825249948381
FFPE-Liver-Tumoral_B00GXDP	vafsnvf	0.309304796599879	0.00637782423191898
FFPE-Liver-Tumoral_B00GXDP	sobdetector	0.8270886410821	0.0286514794490478
FFPE-Liver-Tumoral_B00GXDP	gatk-obmm	0.493531164390425	0.00724623835648063
